animal	sexo	controle	idade	peso
171	2	7	35	768
171	2	8	42	949
171	2	9	49	1150
171	2	10	56	1432
171	2	11	63	1650
171	2	12	70	1590
171	2	13	77	1595
171	2	14	84	1625
171	2	15	90	1665
172	1	1	0	42
172	1	2	1	46
172	1	3	7	77
172	1	4	14	217
172	1	5	21	455
172	1	6	28	731
172	1	7	35	1060
172	1	8	42	1255
172	1	9	49	1800
172	1	10	56	2246
172	1	11	63	2475
172	1	12	70	2730
172	1	13	77	2885
172	1	14	84	2975
172	1	15	90	3085
173	1	1	0	43
173	1	2	1	47
173	1	3	7	77
173	1	4	14	208
173	1	5	21	411
173	1	6	28	632
173	1	7	35	964
173	1	8	42	960
173	1	9	49	1295
173	1	10	56	1755
173	1	11	63	2015
173	1	12	70	2270
173	1	13	77	2395
173	1	14	84	2625
173	1	15	90	2605
174	1	1	0	25
174	1	2	1	35
174	1	3	7	107
174	1	4	14	215
174	1	5	21	424
174	1	6	28	725
174	1	7	35	908
174	1	8	42	1330
174	1	9	49	1670
174	1	10	56	2154
174	1	11	63	2280
174	1	12	70	2430
174	1	13	77	2615
174	1	14	84	2730
174	1	15	90	2775
175	1	1	0	42
175	1	2	1	46
175	1	3	7	73
175	1	4	14	182
175	1	5	21	376
175	1	6	28	577
175	1	7	35	829
175	1	8	42	1059
175	1	9	49	1515
175	1	10	56	1877
175	1	11	63	2115
175	1	12	70	2465
175	1	13	77	2650
175	1	14	84	2840
175	1	15	90	2950
176	2	1	0	41
176	2	2	1	44
176	2	3	7	64
176	2	4	14	172
176	2	5	21	342
176	2	6	28	545
176	2	7	35	750
176	2	8	42	891
176	2	9	49	1125
176	2	10	56	1340
176	2	11	63	1475
176	2	12	70	1530
176	2	13	77	1545
176	2	14	84	1570
176	2	15	90	1590
177	2	1	0	45
